X82,nd,bra,pre,par,ama,ind,total,nao_bra_prop,nao_bra_prop_declarados
35003281,568,303,20,191,3,1,1086,72.09944751381215,41.5057915057915
35003293,266,209,17,101,1,0,594,64.81481481481481,36.28048780487805
35003300,484,293,25,158,4,0,964,69.6058091286307,38.95833333333333
35003311,247,264,15,109,0,1,636,58.490566037735846,32.13367609254498
35003323,542,188,10,179,0,1,920,79.56521739130434,50.264550264550266
35003335,188,248,16,93,0,0,545,54.49541284403669,30.532212885154063
35003347,2,326,2,136,4,0,470,30.638297872340424,30.341880341880344
35003360,198,126,9,45,4,0,382,67.01570680628272,31.521739130434778
35003372,136,241,14,111,2,0,504,52.18253968253968,34.5108695652174
35003384,187,291,23,160,3,0,664,56.174698795180724,38.9937106918239
35003402,116,276,27,167,2,1,589,53.140916808149406,41.649048625792815
35003414,438,222,19,113,5,1,798,72.18045112781954,38.33333333333333
35003426,47,273,20,165,4,110,619,55.896607431340875,52.27272727272727
35003448,102,181,12,73,2,3,373,51.474530831099194,33.210332103321036
35003451,360,344,27,232,7,14,984,65.04065040650406,44.87179487179487
35003463,133,197,7,77,2,1,417,52.757793764988016,30.63380281690141
35003475,110,152,11,55,3,0,331,54.0785498489426,31.221719457013574
35003487,235,215,16,68,1,0,535,59.81308411214954,28.333333333333332
35003499,46,265,21,97,1,0,430,38.372093023255815,30.989583333333336
35003505,281,200,21,219,7,38,766,73.89033942558747,58.76288659793815
35003517,153,78,8,28,0,0,267,70.78651685393258,31.57894736842105
35003530,270,281,18,150,3,8,730,61.50684931506849,38.91304347826087
35003542,93,391,20,241,7,0,752,48.00531914893617,40.667678300455236
35003554,51,159,15,78,3,0,306,48.0392156862745,37.64705882352941
35003566,142,190,23,86,0,2,443,57.110609480812634,36.87707641196013
35003585,91,469,17,154,5,1,737,36.36363636363637,27.399380804953566
35003591,166,125,8,61,2,1,363,65.56473829201101,36.54822335025381
35003608,691,905,53,251,11,1,1912,52.66736401673639,25.880425880425882
35003612,157,110,6,52,2,0,327,66.36085626911314,35.29411764705882
35003621,643,250,25,245,19,24,1206,79.2703150912106,55.59502664298401
35003633,133,173,10,77,0,0,393,55.97964376590331,33.46153846153847
35003657,92,248,15,112,2,4,473,47.56871035940803,34.90813648293963
35003669,108,311,9,77,2,0,507,38.65877712031558,22.05513784461153
